Facility_Name,Facility_Type,Latitude,Longitude,Data_Sources,Confidence_Score,OSM_ID,Category,Dist_Zipline_km
Edward Attah Asare,Clinic,5.6136103,-0.240192,"OSM,HDX,healthsites",0.93,6279110346,Clinic,69.02357191289823
Efan Victory Clinic,Clinic,5.6243857,-0.0909543,"OSM,HDX,healthsites",0.81,6581207997,Clinic,75.08272395998407
Ekebaku Health Centre,Clinic,4.9832476,-2.5690692,"OSM,HDX,healthsites",0.91,7706543085,Clinic,132.89453716279843
Elubo Health Center,Clinic,5.2868169,-2.7713319,"OSM,HDX,healthsites",0.82,7321882985,Clinic,103.9674794702663
Emergency Unit,Clinic,5.3411207,-0.7516456,"OSM,HDX,healthsites",0.81,6360017285,Clinic,101.10606847232954
Emmanuel Eye Clinic,Clinic,5.6304406,-0.1744333,"OSM,HDX,healthsites",0.82,4780055840,Clinic,70.07443806429146
Enape Clinic,Clinic,7.6329432,-1.91397,"OSM,HDX,healthsites",0.82,7595212785,Clinic,86.58518781784244
Essaso CHPS compound,Clinic,5.7645167,-0.6977078,"OSM,HDX,healthsites",0.81,10569760809,Clinic,55.88824859463191
Essiama Community Health Centre,Clinic,4.9357441,-2.3552129,"OSM,HDX,healthsites",0.81,5239750195,Clinic,138.5593332488526
Ewim Health Clinic,Clinic,5.115015,-1.244858,"OSM,HDX,healthsites",0.82,11606205359,Clinic,149.31653902416917
Expert's Hand Clinic,Clinic,5.677701,-0.1795796,"OSM,HDX,healthsites",0.81,10606956953,Clinic,65.13229096674672
Eye Clinic,Clinic,10.0576027,-2.4978621,"OSM,HDX,healthsites",0.92,9913042560,Clinic,188.39165405238194
Faith Maternity Clinic,Clinic,7.5977703,0.5076105,"OSM,HDX,healthsites",0.81,8645225434,Clinic,61.50877808644778
Fakwasi,Clinic,7.7763431,-1.3342887,"OSM,HDX,healthsites",0.81,7190143185,Clinic,80.03057085942656
Florence Maternity Home,Clinic,7.3331404,-2.3221767,OSM,0.53,634010464,Clinic,107.94673150048231
Foresight Medical Center,Clinic,6.6169434,0.4635366,"OSM,HDX,healthsites",0.82,6549350138,Clinic,36.197231404784176
Forever Homeopathic Clinic,Clinic,5.8157087,-2.8256604,"OSM,HDX,healthsites",0.81,8034197712,Clinic,55.384688549459554
Frontier Clinic,Clinic,5.2894878,-2.7748077,"OSM,HDX,healthsites",0.82,7329667185,Clinic,103.80488204164813
Fuo Community Hospital,Clinic,9.4227462,-0.8074925,"OSM,HDX,healthsites",0.81,6657452997,Clinic,102.22990425627063
G.P.H.A Clinic Tema,Clinic,5.6326817,-0.0065233,"OSM,HDX,healthsites",0.81,4746491621,Clinic,79.64801526254136
GBC Clinic,Clinic,5.5755888,-0.1941216,"OSM,HDX,healthsites",0.81,6649973861,Clinic,74.75675105036657
GHS,Clinic,5.3833164,-0.9250126,"OSM,HDX,healthsites",0.92,4614565789,Clinic,104.9893063766569
GHS (Chips Zone),Clinic,5.3301088,-0.8334708,"OSM,HDX,healthsites",0.92,4614566089,Clinic,105.59987073150732
GMAD Clinic,Clinic,5.4808556,-0.5654202,OSM,0.53,1037981793,Clinic,80.9102388428878
Ga Health Center,Clinic,9.79787,-2.4957016,"OSM,HDX,healthsites",0.91,12566571409,Clinic,195.1808594186157
Gbalahi Health Centre,Clinic,9.439149,-0.7763003,OSM,0.53,1385193998,Clinic,100.45905029982931
Gbedembilisi CHPS,Clinic,10.327591,-1.2466083,"OSM,HDX,healthsites",0.81,1919300445,Clinic,48.57863015348431
Gemar Hospital,Clinic,4.8904665,-1.9548466,"OSM,HDX,healthsites",0.81,5649508154,Clinic,154.41085987985127
Geomond Eye Centre,Clinic,5.6175006,-0.0787279,"OSM,HDX,healthsites",0.81,9646636717,Clinic,76.44439500496378
George & Angelina,Clinic,6.7433264,-1.458069,"OSM,HDX,healthsites",0.81,4585620889,Clinic,35.33502045265952
Ghanuba Specialist Clinic,Clinic,5.5827927,-0.2068205,OSM,0.63,706230762,Clinic,73.49949040098039
